timestamps,open,close,high,low,volume,amount
2007-04-30,0.12,-0.21,0.18,-0.34,207375.0,1365189248.0
2007-05-08,-0.1,-0.27,-0.01,-0.34,86299.0,556319808.0
2007-05-09,-0.32,-0.4,-0.28,-0.56,93823.0,578206528.0
2007-05-10,-0.43,-0.37,-0.24,-0.47,47720.0,299922592.0
2007-05-11,-0.41,-0.49,-0.41,-0.55,39273.0,237312640.0
2007-05-14,-0.57,-0.51,-0.44,-0.61,42259.0,254487632.0
2007-05-15,-0.51,-0.64,-0.5,-0.66,35615.0,210965200.0
2007-05-16,-0.65,-0.46,-0.42,-0.65,37899.0,228617408.0
2007-05-17,-0.42,-0.33,-0.33,-0.47,37568.0,233227664.0
2007-05-18,-0.3,-0.4,-0.3,-0.4,33747.0,211636800.0
2007-05-21,-0.55,-0.42,-0.37,-0.55,30993.0,190789904.0
2007-05-22,-0.4,-0.44,-0.38,-0.45,39385.0,244051776.0
2007-05-23,-0.44,-0.28,-0.17,-0.49,47666.0,299214656.0
2007-05-24,-0.28,-0.34,-0.27,-0.4,22736.0,143333536.0
2007-05-25,-0.35,-0.26,-0.22,-0.4,36082.0,230610496.0
2007-05-28,-0.26,-0.14,-0.08,-0.26,29624.0,195512464.0
2007-05-29,-0.14,0.3,0.3,-0.14,47052.0,334481952.0
2007-05-30,0.03,0.38,0.66,0.03,73625.0,547867072.0
2007-05-31,0.38,0.43,0.63,0.05,48171.0,359545568.0
2007-06-01,0.41,0.4,0.59,0.32,34964.0,265019120.0
2007-06-04,0.4,0.13,0.44,0.05,37320.0,267353728.0
2007-06-05,0.05,0.22,0.25,-0.25,50172.0,341039808.0
2007-06-06,0.18,0.36,0.46,0.05,49075.0,357545856.0
2007-06-07,0.32,0.62,0.63,0.31,38225.0,291408640.0
2007-06-08,0.63,0.6,0.64,0.48,23977.0,184609184.0
2007-06-11,0.57,0.97,1.01,0.54,27028.0,221016944.0
2007-06-12,0.97,1.06,1.1,0.79,30391.0,253432128.0
2007-06-13,1.03,1.16,1.19,1.0,25277.0,215341264.0
2007-06-15,1.0,1.23,1.52,1.0,30408.0,266783696.0
2007-06-18,1.24,1.19,1.36,1.16,20821.0,181648768.0
2007-06-19,1.19,1.06,1.23,1.02,24443.0,207186512.0
2007-06-20,1.02,1.06,1.22,1.0,20754.0,178049024.0
2007-06-21,1.03,1.15,1.23,1.03,19300.0,165177040.0
2007-06-22,1.13,0.8,1.13,0.7,21090.0,173036592.0
2007-06-25,0.8,0.65,0.89,0.54,18564.0,147123312.0
2007-06-26,0.53,0.67,0.77,0.51,9404.0,73493920.0
2007-06-27,0.77,0.97,1.1,0.68,25869.0,210650560.0
2007-06-28,0.97,0.67,1.03,0.67,12809.0,104536432.0
2007-07-02,0.67,0.63,0.74,0.51,12315.0,95427368.0
2007-07-03,0.63,0.74,0.78,0.61,13628.0,108267056.0
2007-07-04,0.64,0.69,0.77,0.64,9752.0,77139920.0
2007-07-05,0.62,0.61,0.74,0.57,16807.0,131891392.0
2007-07-06,0.64,0.63,0.66,0.38,10568.0,80631520.0
2007-07-09,0.62,0.67,0.71,0.62,8067.0,63388972.0
2007-07-10,0.67,0.55,0.7,0.51,11503.0,88289776.0
2007-07-11,0.56,0.51,0.56,0.46,11997.0,91195616.0
2007-07-12,0.5,0.46,0.55,0.44,4112.0,31133900.0
2007-07-13,0.46,0.51,0.61,0.42,7152.0,54201948.0
2007-07-16,0.52,0.45,0.64,0.44,6072.0,46024524.0
2007-07-17,0.42,0.45,0.48,0.42,7317.0,54949276.0
2007-07-18,0.44,0.61,0.64,0.44,13897.0,107531432.0
2007-07-19,0.57,0.6,0.64,0.52,3485.0,26871658.0
2007-07-20,0.61,0.74,0.77,0.6,15636.0,123359672.0
2007-07-23,0.82,0.77,0.96,0.77,35571.0,287789120.0
2007-07-24,0.83,0.79,0.83,0.74,33214.0,266145280.0
2007-07-25,0.83,0.76,0.83,0.63,36545.0,286960000.0
2007-07-26,0.76,0.69,0.8,0.65,25296.0,200322192.0
2007-07-27,0.68,0.7,0.77,0.64,27903.0,219508352.0
2007-07-30,0.68,0.78,0.83,0.68,27561.0,220767168.0
2007-07-31,0.79,0.94,0.96,0.79,25040.0,205289568.0
2007-08-01,0.96,0.71,1.0,0.7,25046.0,201999104.0
2007-08-02,0.74,0.67,0.91,0.61,41897.0,332697248.0
2007-08-03,0.76,0.89,0.92,0.67,45784.0,372840544.0
